chocolate,nobel,gdppc,country,education
.713,0,8400,China,2.5
2.9089999,0,11640,Brazil,5.0999999
1.803,1.426,34314,Japan,3.5
1.921,2.1559999,25372,Portugal,5.1999998
2.5439999,1.823,25850,Greece,4
3.6140001,1.719,32045,Spain,4.3000002
3.7130001,3.175,32647,Italy,4.3000002
3.5940001,3.052,21261,Poland,4.9000001
4.5019999,5.4840002,39721,Australia,4.5
3.9100001,5.9400001,40370,Canada,4.9000001
4.4099998,8.5220003,38768,Belgium,6
4.507,11.362,42772,Netherlands,5.3000002
5.3169999,10.607,48112,United States,5.5
6.3049998,8.8520002,35246,France,5.5999999
7.3010001,7.5679998,37464,Finland,5.9000001
8.8290005,12.789,41682,Ireland,4.9000001
11.618,12.569,39491,Germany,4.5
9.7150002,18.802999,35657,United Kingdom,5.5
9.4259996,23.379,60405,Norway,6.8000002
8.4720001,24.412001,42196,Austria,5.4000001
8.5439997,25.288,40908,Denmark,7.8000002
6.4239998,31.879,41467,Sweden,6.5999999
11.917,32.700001,51262,Switzerland,5.1999998
