year,country number,country_CN,aircraft,West_military exercise,Year_2022,invasion,Yomiuri,Nikkei,total_coverage,Yomiuri_word count,Nikkei_word count,total_ wordcount
2024,1,0,4,0,0,0,0,0,0,0,0,0
2024,1,1,1,0,0,0,0,0,0,0,0,0
2024,1,1,1,0,0,0,0,0,0,0,0,0
2024,1,1,1,0,0,0,1,0,1,191,0,191
2024,1,1,3,0,0,0,0,0,0,0,0,0
2024,1,1,1,0,0,0,0,0,0,0,0,0
2024,1,1,1,0,0,0,0,0,0,0,0,0
2024,1,0,1,0,0,0,0,0,0,0,0,0
2023,2,1,15,0,0,0,1,0,1,337,0,337
2023,1,0,1,0,0,1,1,0,1,182,0,182
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,0,8,0,0,0,0,0,0,0,0,0
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,0,2,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,2,0,0,0,0,0,0,0,0,0
2023,1,1,2,0,0,0,0,0,0,0,0,0
2023,1,0,2,0,0,0,0,0,0,0,0,0
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,1,0,1,355,0,355
2023,2,1,22,0,0,0,1,1,2,240,390,630
2023,2,1,6,0,0,0,0,1,1,0,167,167
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,2,0,0,0,0,1,1,0,74,74
2023,1,1,2,0,0,0,0,1,1,0,74,74
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,0,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,0,0,0,0,1,1,0,190,190
2023,1,1,1,0,0,0,1,0,1,105,0,105
2023,1,1,1,0,0,0,1,0,1,106,0,106
2022,1,1,2,0,1,0,0,0,0,0,0,0
2022,1,0,4,0,1,0,0,0,0,0,0,0
2022,1,0,2,0,1,0,0,1,1,0,822,822
2022,2,1,4,0,1,0,1,1,2,225,274,499
2022,1,1,2,1,1,0,0,1,1,0,238,238
2022,1,1,1,1,1,0,0,1,1,0,195,195
2022,1,1,1,0,1,0,0,0,0,0,0,0
2022,1,1,2,0,1,0,0,1,1,0,373,373
2022,1,1,1,0,1,0,1,1,2,218,181,399
2022,1,1,1,0,1,0,0,0,0,0,0,0
2022,1,1,3,0,1,0,1,1,2,129,100,229
2022,1,0,4,0,1,0,1,0,1,228,0,228
2022,2,1,9,0,1,0,0,1,1,0,976,976
2022,1,1,2,0,1,0,1,0,1,89,0,89
2022,1,1,1,0,1,0,1,0,1,159,0,159
2022,1,1,1,0,1,0,1,1,2,164,257,421
2022,1,0,1,0,1,1,1,1,2,226,194,420
2022,1,1,1,0,1,0,0,0,0,0,0,0
2022,1,1,1,0,1,0,0,0,0,0,0,0
2022,1,1,1,0,1,0,0,0,0,0,0,0
2022,1,0,2,0,1,0,0,0,0,0,0,0
2022,1,0,2,0,1,0,0,0,0,0,0,0
2022,1,0,2,0,1,0,0,0,0,0,0,0
2021,1,0,9,0,0,0,1,0,1,176,0,176
2021,1,0,1,0,0,0,0,0,0,0,0,0
2021,1,1,2,0,0,0,0,0,0,0,0,0
2021,1,1,2,0,0,0,0,0,0,0,0,0
2021,2,1,4,0,0,0,1,1,2,340,327,667
2021,1,1,2,0,0,0,0,0,0,0,0,0
2021,1,1,3,0,0,0,0,0,0,0,0,0
2021,1,0,1,0,0,1,1,1,2,91,128,219
2021,1,1,3,0,0,0,1,0,1,237,0,237
2021,1,1,3,0,0,0,1,0,1,152,0,152
2021,1,1,1,0,0,0,1,0,1,132,0,132
2021,1,0,1,0,0,0,0,0,0,0,0,0
2021,1,1,2,0,0,0,0,0,0,0,0,0
2021,1,1,1,0,0,0,0,0,0,0,0,0
2021,1,1,2,0,0,0,0,0,0,0,0,0
2021,1,0,2,0,0,0,0,0,0,0,0,0
2021,1,0,9,0,0,0,0,0,0,0,0,0
2020,2,1,6,0,0,0,1,1,2,696,467,1163
2020,1,0,1,1,0,0,0,0,0,0,0,0
2020,1,0,9,1,0,0,0,0,0,0,0,0
2020,1,0,1,0,0,1,1,0,1,286,0,286
2020,1,1,1,0,0,0,0,0,0,0,0,0
2020,1,0,2,0,0,0,0,0,0,0,0,0
2020,1,0,8,0,0,0,0,0,0,0,0,0
2020,1,0,1,0,0,0,0,0,0,0,0,0
2020,1,1,2,0,0,0,0,0,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0,0,0
2020,1,0,1,0,0,0,0,0,0,0,0,0
2020,1,0,2,0,0,0,0,0,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0,0,0
2020,1,0,5,0,0,0,0,0,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0,0,0
2020,1,0,2,0,0,0,0,0,0,0,0,0
2020,1,1,4,0,0,0,0,0,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0,0,0
2019,1,1,1,0,0,0,0,0,0,0,0,0
2019,1,1,1,1,0,0,0,0,0,0,0,0
2019,1,0,2,1,0,0,0,0,0,0,0,0
2019,1,1,1,0,0,0,0,0,0,0,0,0
2019,1,0,2,0,0,0,0,0,0,0,0,0
2019,1,0,2,0,0,0,0,0,0,0,0,0
2019,1,0,1,0,0,1,1,0,1,936,0,936
2019,2,1,4,0,0,0,0,0,0,0,0,0
2019,1,0,3,0,0,1,1,1,2,512,156,668
2019,1,1,1,1,0,0,0,0,0,0,0,0
2019,1,1,2,1,0,0,0,0,0,0,0,0
2019,1,0,2,0,0,0,0,0,0,0,0,0
2019,1,1,2,0,0,0,0,0,0,0,0,0
2019,1,0,1,0,0,0,0,0,0,0,0,0
2019,1,1,3,0,0,0,0,0,0,0,0,0
